Ararat Lift伊朗(Mehdi Kamel Tousi ),T1.0AM-H,,MC,,DC220V,325*4*8*12,有,散头,海1387,7米,,
Ararat Lift伊朗(Mehdi Kamel Tousi ),T1.0BM-H,,MC,,DC220V,325*5*8*12,有,散头,海1387,7米,,
Ararat Lift伊朗(Mehdi Kamel Tousi ),T1.6AM-H,,MC,,DC220V,325*4*8*12,有,散头,海1387,7米,,
Ararat Lift伊朗(Mehdi Kamel Tousi ),T1.6BM-H,,MC,,DC220V,325*5*8*12,有,散头,海1387,7米,,
Ararat Lift伊朗(Mehdi Kamel Tousi ),TA1.6D-H,,MC,,DC220V,400*5*10*16,有,散头,海1387,7米,,
"ASCENSORES JORD?, S.A.U.西班牙",Y1.6E3-H,,CWW,,DC110V,410*9*10*16-3DD,有,富士LIFT,海1387,7米,,
BAABOUD ELEVATORS & ESCALATORS,TA1.5D-H,,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,,
FEC Electronics 柬埔寨,T1.0BM-H,,MC,,DC110V,325*5*8*12,有,富士,海1387,7米,,
HTS Elevadores Ltda,T1.0BM-H,,MC,,DC110V,325*5*8*12,无,安川L1000E,海1387,7米,,
HTS Elevadores Ltda,TA1.0C-N,,MC,,DC110V,400*5*10*16,有,安川L1000A,多8192,7米,,
HTS Elevadores Ltda,TA1.0D-N,,MC,,DC110V,400*5*10*16,无,安川L1000E,多8192,7米,,
HTS Elevadores Ltda,U1.0FS-H,,MM,,DC110V,480*7*12*18,无,安川L1000E,海1387,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.0A-H,,MC,,DC220V,400*4*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.0B-H,,MC,,DC220V,400*4*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.0C-H,,MC,,DC220V,400*5*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.0D-H,,MC,,DC220V,400*5*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.6A-H,,MC,,DC220V,400*4*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.6B-H,,MC,,DC220V,400*4*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.6C-H,,MC,,DC220V,400*5*10*16,有,, 海1313 ,7米,,
PARDIS TECHNICAL & TRADING GROUP（MOHSEN),TA1.6D-H,,MC,,DC220V,400*5*10*16,有,, 海1313 ,7米,,
Tatung Otis Elevator Company,S1.0B-N,,BCC,,DC110V,400*3*10*16-3W,无,安川L1000A,多8192,10米,5米,
Tatung Otis Elevator Company,S1.0C-N,,BCC,,DC110V,400*4*10*16,无,安川L1000A,多8192,7米,5米,
Tatung Otis Elevator Company,S1.0D-N,,BCC,,DC110V,400*5*10*16,无,安川L1000A,多8192,7米,5米,
Tatung Otis Elevator Company,S1.5C-N,,BCC,,DC110V,400*4*10*16,无,安川L1000A,多8192,10米,5米,
Tatung Otis Elevator Company,U1.0FS-H,,MM,,DC110V,480*6*12*18,无,安川L1000A,海1321,10米,5米,
ThyseenKrupp Elevator(India)Pvt.ltd,Y2.0BC3-H,,AWW,单,DC110V,410*7*10*16-3C,有,富士,海1387,10米,,
ThyseenKrupp Elevator(India)Pvt.ltd,Y2.5D3-H,,AWW,单,DC110V,410*8*10*16-3C,有,富士,海1387,10米,,
安徽奥士菱,S1.0D-H,,BCC,,AC220V ,400*5*10*16,无,蓝光一体化,海1387,8米,,
安徽奥士菱,TA1.0C-H,,MC,,DC220V ,400*5*10*16,有,默纳克,海1387,8米,4米,电机灰
安徽骏禹机电设备有限公司,TA1.0C-N,,MC,,DC110V,400*5*10*16,无,安川,多8192,10米,,
鞍山市鑫宇机械有限公司,BLM-OT30D60V1.0,,TA,,,∮600*4*∮13*24,,无,无,无,,
傲途电梯(苏州)有限公司,TA1.0D-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
傲途电梯(苏州)有限公司,U1.0ES-H,,MM,,DC110V,480*7*10*14-2K,无,默纳克,海1387,7米,,
奥克斯快速,TA1.0C-H,,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,7米配,,
奥克斯快速,TA1.0D-H,,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,8米,,
奥利夫,S1.5D-H,,BCC,,DC220V,400*5*10*16,有,默纳克,海1387,7米,,
奥利夫,TA1.0B-H,,MC,,DC220V,400*4*10*16,有,蓝光一体化,海1387,7米,,
奥利夫,TA1.0C-H,,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,7米,,
奥利夫,TA1.0DL-H,,MC,,DC220V,480*5*10*16,有,蓝光一体化,海1387,7米,,
奥利夫,TA1.5C-H,,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,7米,,
奥利夫,TA1.75C-H,,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,7米,,
奥玛斯电梯（苏州）,T1.0AM-H,,MC,,DC110V,325*4*8*12,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,T1.0BM-H,,MC,,DC110V,325*5*8*12,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA0.5D-H,,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.0A-H,,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.0B-H,,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.0C-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.0D-H,,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.0E-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.5B-H,,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,
奥玛斯电梯（苏州）,TA1.5C-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.5D-H,,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.75D-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA1.75E-H,,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA2.0D-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,TA2.0E-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,U1.0DS-H,,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,U1.0ES-H,,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,U1.75DS-H,,MM,,DC110V,480*7*12*18,无,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,U2.0FS-H,,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,
奥玛斯电梯（苏州）,U2.5ES-H,,MM,,DC110V,480*7*12*18,无,默纳克,海1387,7米,,
奥瑞斯电梯,TA1.0B-H,,MC,,DC110V,400*4*10*16,无,默纳克,海1387,8米,,
奥瑞斯电梯,TA1.0D-H,,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,
奥瑞斯电梯,TA1.5C-H,,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,
北方个人,S1.0C-H,,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,10米,,
北方个人,S1.0C-N,,BCC,,AC220V,400*5*10*16,有,安川,多8192,7米,,
北方个人,S1.5D-H,,BCC,,AC220V,400*5*10*16,有,默纳克,海1387,10米,,
