711040,珠江中富,TA1.0D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,7米配,,珠江富士（中国）铭牌，载重打1050KG,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
803013-803014,珠江中富,TA1.0D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
711117,珠江中富,TA1.6DL-H,0,MC,无,DC110V,480*5*10*16,有,默纳克,海1387,7米配,,蓝光铭牌，载重打900KG,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(12簧）,,蓝光标准包装箱,,,华南,低,N,N
801070-801073,珠江中富,TA1.6B-H,0,MC,无,DC110V,400*4*10*16,有,富士,海1387,7米配,,蓝光铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3A(10簧）,,蓝光标准包装箱,,,华南,低,N,N
803015,珠江中富,TA1.0C-H,0,MC,无,DC110V,400*5*10*16,无,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
803030-803031,珠江中富,U1.6ES-H,0,MM,无,DC110V,480*7*12*18,有,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-U.3(2T以下）,,蓝光标准包装箱,,,华南,低,N,N
2014-213A-J,辽宁三洋,TA1.0C-H,0,MC,无,DC110V,400*5*10*16,无,默纳克,海1387,7米,,辽宁富士铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,北方,低,N,N
YN150317A,北方个人,DZE-14EB2S,0,,无,AC220V,,无,,,,,,木箱包装，上出线,2015/1/1,AC380V,海蓝环保水性自干漆,,,蓝光标准包装箱,,,北方,低,N,N
YN150316A,齐齐哈尔建华,S1.0D-H,0,BCC,无,AC220V,400*5*10*16,无,蓝光一体化,海1387,7米,4米,蓝光铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,DZE-14EA,,蓝光标准包装箱,,,北方,低,N,N
PO01503170008.2,广州广日,TA1.75C-H,0,MC,无,DC110V,V400*5*8*14-2M,无,新时达,海1387,7米,,"广日铭牌，作业号：16818488E 载重打印825KG
1.75梯速打1.75/1.5
",D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/1/1,AC380V,豆绿色,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
YS150313C,广东亚太西奥,S1.75D-H,0,BCC,无,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,DZE-14EA,,蓝光标准包装箱,XAK20150206-1-3,,华南,低,N,N
91038,珠江中富,TA1.6D-H,0,MC,无,DC110V,400*5*10*16,无,默纳克,海1387,7米配,,蓝光铭牌，载重打1050KG,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
711116,珠江中富,TA1.0B-H,0,MC,无,DC110V,400*4*10*16,无,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3A(10簧）,,蓝光标准包装箱,,,华南,低,N,N
91034,珠江中富,TA1.6DL-H,0,MC,无,DC110V,480*5*10*16,有,默纳克,海1387,7米配,,蓝光铭牌，载重打1050KG,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(12簧）,,蓝光标准包装箱,,,华南,低,N,N
91036-91037,珠江中富,TA1.75D-H,0,MC,无,DC110V,400*5*10*16,无,默纳克,海1387,7米配,,"蓝光铭牌,铭牌载重打1050KG ",D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,,,华南,低,N,N
YS150317A,广东广船,TA1.75DL-H,0,MC,无,DC110V,480*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(12簧）,,蓝光标准包装箱,13833600b    L2,,华南,低,N,N
YE150317E,沃克斯电梯（上海腾能）,TA1.0D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93检验报告,D型 沃克斯包装箱  工号：V15N1265(WKS20150317055),2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,特殊包装箱,V15N1265(WKS,,华东1,低,N,N
YE150317H,沃克斯电梯（上海腾能）,TA1.75C-H,0,MC,无,DC110V,400*4*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93检验报告,D型 沃克斯包装箱  工号：V14N6564(WKS20150317038),2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,特殊包装箱,V14N6564(WKS,,华东1,低,N,N
YE150317J,沃克斯电梯（上海腾能）,TA1.75D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93检验报告,D型 沃克斯包装箱   工号：V14N6565(WKS20150317038),2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,特殊包装箱,V14N6565(WKS,,华东1,低,N,N
YE150317K,沃克斯电梯（上海腾能）,TA1.75D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93检验报告 ,D型 沃克斯包装箱   工号：V14N8813-8816(WKS20150317069),2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,特殊包装箱,V14N8813-8816,,华东1,低,N,N
YE150316E,沃克斯电梯（上海腾能）,S2.5C-H,0,BCC,无,AC220V,400*5*10*16,有,默纳克,海1387,9米,,蓝光铭牌,D型 沃克斯包装箱  工号：V14NB446-449，460-463(WKS20150316001),2015/1/1,AC380V,海蓝环保水性自干漆,DZE-14EB2,,特殊包装箱,V14NB446-449,抚顺,华东1,低,N,N
YE150316D,浙江怡达,TA1.75D-H,0,MC,无,DC110V,400*5*10*16,有,默纳克,海1387,8米,,怡达快速铭牌检验报告,D型，要原点值，怡达包装箱和装箱清单，带两张合格证，一张怡达合格证，一张蓝光   工号：D060056.3-4/P-201503699,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,特殊包装箱,D060056.3-4/P-,苏州,华东1,低,N,N
YN150316B,北方个人,DZE-14EAS,0,,无,DC110V,,无,,,,,,木箱包装,2015/1/1,AC380V,海蓝环保水性自干漆,,,蓝光标准包装箱,,,北方,低,N,N
YE150316C,奥玛斯电梯（苏州）,TA1.5C-H,0,MC,无,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/1,AC380V,海蓝环保水性自干漆,WYT-TA.3(10簧）,,蓝光标准包装箱,20150307,,华东1,低,N,N
YN150316C,北方个人,曳引轮,0,,无,,410*6*10*16-Y.1-8B,无,,,,,,木箱包装,2015/1/1,AC380V,海蓝环保水性自干漆,,,蓝光标准包装箱,,,北方,低,N,N
